H,10,H,J,H,Q,H,K,H,1,9
S,J,S,K,S,Q,S,10,S,1,9
D,Q,D,J,D,10,D,K,D,1,9
C,10,C,J,C,K,C,1,C,Q,9
C,1,C,K,C,J,C,Q,C,10,9
H,2,H,4,H,3,H,5,H,6,8
H,9,H,Q,H,J,H,10,H,K,8
S,1,S,2,S,4,S,3,S,5,8
D,5,D,6,D,7,D,9,D,8,8
C,1,C,4,C,3,C,2,C,5,8
H,1,S,1,H,5,D,9,S,3,3
S,6,S,1,S,4,C,K,C,9,0
H,10,C,6,H,1,H,2,D,8,0
S,K,S,1,H,5,C,4,S,J,0
D,8,C,Q,C,2,D,9,D,2,3
H,3,C,7,S,4,H,5,C,K,0
H,4,H,1,D,5,H,3,D,2,4
D,8,D,Q,S,6,S,7,H,2,0
C,8,H,J,D,2,C,6,C,Q,0
D,7,S,7,H,Q,C,J,D,1,3
H,K,C,8,S,10,S,7,D,K,3
S,6,S,8,H,4,H,J,D,7,0
D,10,S,10,H,2,C,5,D,8,3
S,1,D,K,H,9,C,6,C,1,3
S,10,S,8,D,2,H,8,S,K,3
S,K,H,5,C,8,C,5,D,3,3
D,1,H,5,D,K,S,7,H,1,3
H,7,H,5,H,6,C,8,S,6,3
D,7,D,9,S,5,S,Q,C,4,0
S,10,H,1,C,6,H,Q,S,8,0
D,K,S,7,D,J,C,J,S,J,1
C,2,S,7,S,J,D,K,D,10,0
H,J,S,7,C,2,H,6,H,1,0
D,4,C,3,S,Q,D,5,H,9,0
D,2,H,6,C,3,S,J,S,10,0
C,8,C,3,C,Q,C,K,H,1,0
S,6,C,8,S,2,C,3,H,2,3
C,K,H,6,H,3,D,8,S,3,3
S,9,S,10,C,7,C,J,C,3,0
S,10,D,Q,S,2,H,2,S,K,3
S,5,S,Q,H,2,S,3,D,3,3
S,8,D,2,H,Q,S,5,C,8,3
S,1,C,7,C,5,C,6,H,5,3
D,K,S,1,H,3,D,7,S,6,0
C,10,C,K,S,8,D,5,H,10,3
H,2,H,J,H,7,D,9,D,5,0
S,2,D,1,S,6,S,J,C,4,0
H,10,C,1,C,Q,C,4,H,9,0
C,9,D,K,D,9,S,1,C,Q,3
C,1,D,1,C,4,H,3,S,J,3
H,5,C,4,D,7,S,K,C,10,0
H,10,D,7,D,6,H,3,D,8,0
C,2,D,4,D,9,C,7,S,1,0
C,8,H,9,H,J,S,4,S,3,0
S,7,C,K,D,4,S,3,S,1,0
C,Q,S,3,S,5,C,7,C,1,0
S,5,D,K,D,7,D,Q,H,K,3
C,8,D,2,S,9,S,8,D,J,3
H,8,H,Q,S,6,S,9,D,2,0
H,5,D,K,S,7,S,K,C,5,2
C,7,C,10,D,3,D,1,S,5,0
D,K,S,2,D,3,C,10,S,K,3
H,5,D,7,H,6,H,3,S,8,0
H,2,C,3,C,J,S,8,C,K,0
S,1,H,4,C,J,C,1,D,7,3
H,4,C,1,S,3,C,Q,C,K,0
H,9,C,1,C,4,C,7,D,2,0
C,3,D,1,H,5,H,6,S,10,0
S,9,C,2,S,6,D,3,D,9,3
D,1,H,5,D,10,C,8,D,5,3
C,7,C,5,D,8,S,9,H,5,3
C,K,H,J,D,5,C,4,C,1,0
C,K,D,8,C,6,H,1,H,K,3
C,8,C,4,C,1,C,2,C,7,5
S,3,C,10,D,K,D,5,C,3,3
H,4,S,K,C,4,D,1,C,1,2
D,2,C,10,H,Q,S,6,D,10,3
S,J,D,9,C,8,H,J,D,8,2
S,4,H,4,H,8,S,5,H,K,3
S,K,H,9,H,4,H,2,C,4,3
C,2,D,10,D,7,H,Q,C,8,0
S,6,H,K,S,2,C,5,C,9,0
H,Q,C,5,D,J,C,K,D,10,0
S,7,S,3,D,J,D,K,H,4,0
S,10,S,J,D,6,S,5,S,4,0
S,Q,C,6,C,1,D,9,C,Q,3
H,8,H,10,D,5,S,K,H,4,0
S,7,H,4,D,2,S,K,C,Q,0
S,7,C,Q,C,K,C,1,D,J,0
H,9,D,3,H,10,C,4,S,1,0
S,1,D,Q,H,2,D,8,D,1,3
H,9,D,10,C,4,H,8,H,5,0
S,1,S,8,D,1,S,6,D,4,3
C,J,D,Q,C,Q,D,4,C,7,3
D,2,C,Q,S,7,D,8,D,J,0
D,Q,S,Q,D,J,S,8,H,6,3
D,7,H,8,C,Q,H,7,S,8,2
H,9,C,6,S,9,C,9,H,1,1
D,10,H,7,C,6,C,7,H,J,3
S,10,H,4,C,9,D,Q,S,9,3
S,J,S,3,S,9,D,1,D,2,0
H,K,H,3,C,J,H,Q,S,Q,3
S,7,H,6,C,K,D,6,C,9,3
S,1,D,2,C,1,S,10,C,Q,3
S,2,S,8,D,Q,C,9,C,5,0
C,9,S,J,D,Q,C,7,H,4,0
H,6,D,9,S,2,S,8,C,9,3
H,7,C,4,D,7,C,Q,S,2,3
C,10,S,1,D,J,C,J,S,J,1
D,Q,H,1,C,J,D,K,S,7,0
C,5,D,J,C,8,S,7,D,8,3
D,4,S,J,H,Q,C,8,C,6,0
C,1,D,10,D,K,D,3,D,J,0
S,2,D,4,H,5,C,K,S,K,3
H,2,S,9,D,10,H,Q,H,J,0
H,3,S,1,D,4,D,K,H,9,0
D,6,S,K,D,10,C,K,S,Q,3
D,9,C,Q,H,3,C,10,H,6,0
C,7,D,2,D,9,C,5,S,5,3
C,2,S,7,S,Q,D,K,H,7,3
S,3,H,5,C,1,D,7,D,8,0
S,9,H,4,S,10,S,5,C,1,0
D,1,C,10,H,5,S,10,S,J,3
S,K,C,6,D,3,H,J,C,7,0
C,J,D,K,H,K,H,1,S,2,3
S,Q,S,4,S,7,D,2,C,Q,3
H,2,C,2,S,J,C,10,D,1,3
H,4,H,3,C,8,H,Q,C,K,0
C,J,C,Q,H,9,D,4,S,K,0
S,10,D,9,H,Q,C,K,S,7,0
C,J,C,8,C,10,D,2,D,3,0
S,10,C,3,H,4,C,J,S,7,0
D,10,H,9,S,4,C,3,H,4,3
D,Q,D,10,S,6,C,6,S,K,3
H,J,D,5,C,Q,S,K,S,2,0
D,6,C,2,S,7,D,10,H,8,0
C,Q,D,1,S,6,S,K,S,1,3
D,Q,C,2,D,K,C,3,S,8,0
C,Q,S,9,S,Q,S,5,D,10,3
S,5,S,2,C,6,S,8,H,9,0
D,2,C,7,C,5,C,4,H,3,0
C,1,C,7,S,3,D,6,C,10,0
D,10,H,7,S,6,C,7,S,4,3
H,J,D,3,H,4,C,Q,H,6,0
H,2,D,4,S,8,H,Q,D,1,0
C,5,C,7,D,9,D,1,S,3,0
S,K,C,5,D,9,S,J,C,10,0
D,7,S,3,S,10,D,Q,S,2,0
H,K,H,8,H,J,C,6,S,7,0
C,Q,S,2,C,3,C,J,D,1,0
H,K,S,5,S,Q,C,Q,C,1,3
D,7,H,9,C,6,S,2,C,1,0
C,8,C,10,H,J,C,5,H,9,0
H,8,C,7,S,6,C,K,D,6,3
C,5,S,4,H,10,D,9,S,K,0
C,3,S,2,H,4,C,10,C,J,0
D,8,H,8,D,3,S,5,D,1,3
D,7,S,5,D,4,H,J,D,5,3
S,4,H,4,C,8,H,7,H,5,3
